Raman Shift [cm-1],Polystyrene beads on glass slide - 4
2272.21,1352
2276.62,1336
2281.02,1327
2285.43,1332
2289.83,1293
2294.23,1276
2298.62,1281
2303.01,1261
2307.4,1263
2311.79,1266
2316.17,1263
2320.55,1253
2324.92,1256
2329.3,1242
2333.67,1283
2338.03,1294
2342.4,1243
2346.76,1197
2351.12,1206
2355.47,1201
2359.82,1203
2364.17,1198
2368.52,1204
2372.86,1183
2377.2,1202
2381.54,1207
2385.87,1211
2390.2,1219
2394.53,1213
2398.86,1216
2403.18,1243
2407.5,1223
2411.81,1252
2416.13,1249
2420.43,1271
2424.74,1273
2429.05,1291
2433.35,1298
2437.64,1298
2441.94,1324
2446.23,1338
2450.52,1331
2454.8,1364
2459.09,1374
2463.37,1409
2467.65,1416
2471.92,1431
2476.19,1433
2480.46,1457
2484.72,1476
2488.99,1494
2493.24,1517
2497.5,1514
2501.75,1531
2506,1551
2510.25,1558
2514.5,1584
2518.74,1596
2522.98,1594
2527.21,1613
2531.45,1631
2535.67,1657
2539.9,1665
2544.13,1678
2548.35,1691
2552.57,1692
2556.78,1705
2560.99,1713
2565.2,1727
2569.41,1737
2573.61,1745
2577.81,1758
2582.01,1766
2586.21,1772
2590.4,1792
2594.59,1782
2598.77,1790
2602.96,1807
2607.14,1795
2611.32,1821
2615.49,1816
2619.66,1837
2623.83,1809
2628,1830
2632.16,1835
2636.32,1825
2640.48,1811
2644.63,1827
2648.79,1815
2652.93,1802
2657.08,1813
2661.22,1814
2665.36,1791
2669.5,1805
2673.64,1783
2677.77,1793
2681.9,1759
2686.02,1744
2690.15,1749
2694.27,1748
2698.39,1729
2702.5,1708
2706.61,1713
2710.72,1704
2714.83,1693
2718.93,1656
2723.03,1636
2727.13,1646
2731.23,1629
2735.32,1610
2739.41,1609
2743.5,1599
2747.58,1586
2751.66,1597
2755.74,1586
2759.82,1588
2763.89,1575
2767.96,1590
2772.03,1598
2776.09,1576
2780.15,1593
2784.21,1586
2788.27,1576
2792.32,1603
2796.37,1604
2800.42,1607
2804.47,1603
2808.51,1609
2812.55,1609
2816.58,1595
2820.62,1598
2824.65,1603
2828.68,1573
2832.71,1603
2836.73,1599
2840.75,1611
2844.77,1609
2848.78,1630
2852.79,1644
2856.8,1659
2860.81,1663
2864.82,1650
2868.82,1632
2872.81,1625
2876.81,1605
2880.8,1588
2884.79,1603
2888.78,1616
2892.77,1633
2896.75,1666
2900.73,1674
2904.71,1675
2908.68,1683
2912.65,1669
2916.62,1663
2920.59,1641
2924.55,1621
2928.51,1619
2932.47,1573
2936.43,1576
2940.38,1539
2944.33,1510
2948.28,1493
2952.22,1471
2956.16,1433
2960.1,1411
2964.04,1427
2967.97,1405
2971.9,1390
2975.83,1382
2979.76,1376
2983.68,1379
2987.6,1361
2991.52,1338
2995.44,1320
2999.35,1314
3003.26,1323
3007.17,1319
3011.07,1303
3014.97,1289
3018.87,1264
3022.77,1259
3026.67,1266
3030.56,1265
3034.45,1291
3038.33,1315
3042.22,1338
3046.1,1343
3049.98,1375
3053.85,1389
3057.73,1468
3061.6,1489
3065.47,1470
3069.33,1432
3073.19,1386
3077.06,1300
3080.91,1249
3084.77,1179
3088.62,1156
3092.47,1161
3096.32,1140
3100.16,1128
3104.01,1130
3107.84,1101
3111.68,1109
3115.52,1108
3119.35,1107
3123.18,1118
3127.01,1113
3130.83,1099
3134.65,1117
3138.47,1120
3142.29,1127
3146.1,1131
3149.91,1124
3153.72,1129
3157.53,1144
3161.33,1162
3165.13,1176
3168.93,1180
3172.73,1182
3176.52,1188
3180.31,1209
3184.1,1211
3187.89,1200
3191.67,1199
3195.45,1239
3199.23,1239
3203,1263
3206.78,1259
3210.55,1277
3214.32,1272
3218.08,1272
3221.85,1279
3225.61,1286
3229.36,1305
3233.12,1306
3236.87,1309
3240.62,1319
3244.37,1306
3248.12,1321
3251.86,1334
3255.6,1324
3259.34,1326
3263.08,1366
3266.81,1363
3270.54,1328
3274.27,1367
3277.99,1369
3281.72,1383
3285.44,1354
3289.16,1391
3292.87,1407
3296.58,1403
3300.3,1399
3304,1412
3307.71,1419
3311.41,1410
3315.11,1417
3318.81,1427
3322.51,1427
3326.2,1452
3329.89,1428
3333.58,1438
3337.27,1452
3340.95,1451
3344.63,1451
3348.31,1455
3351.99,1454
3355.66,1468
3359.33,1476
3363,1476
3366.67,1469
3370.33,1482
3374,1483
3377.66,1479
3381.31,1484
3384.97,1490
3388.62,1486
3392.27,1482
3395.92,1470
3399.56,1487
3403.2,1476
3406.84,1472
3410.48,1485
3414.12,1470.5
3417.75,1456
3421.38,1465
3425.01,1479
3428.63,1465
3432.26,1455
3435.88,1435
3439.49,1440
3443.11,1424
3446.72,1427
3450.33,1409
3453.94,1391
3457.55,1400
3461.15,1387
3464.76,1369
3468.36,1355
3471.95,1363
3475.55,1344
3479.14,1337
3482.73,1332
3486.32,1324
3489.9,1321
3493.48,1328
3497.06,1313
3500.64,1325
3504.22,1313
3507.79,1304
3511.36,1315
3514.93,1324
3518.5,1305
3522.06,1306
3525.62,1308
3529.18,1310
3532.74,1311
3536.29,1309
3539.84,1316
3543.39,1287
3546.94,1301
3550.49,1293
3554.03,1313
3557.57,1292
3561.11,1293
3564.64,1298
3568.18,1310
3571.71,1289
3575.24,1294
3578.76,1294
3582.29,1286
3585.81,1291
3589.33,1297
3592.85,1279
3596.36,1285
3599.87,1278
3603.38,1277
3606.89,1277
3610.4,1292
3613.9,1290
3617.4,1276
3620.9,1271
3624.4,1274
3627.89,1277
3631.38,1267
3634.87,1269
3638.36,1268
3641.84,1248
3645.33,1244
3648.81,1244
3652.28,1264
3655.76,1227
3659.23,1239
3662.71,1247
3666.17,1235
3669.64,1230
3673.1,1228
3676.57,1223
3680.03,1231
3683.48,1216
3686.94,1209
3690.39,1191
3693.84,1200
3697.29,1195
3700.74,1196
3704.18,1175
3707.63,1175
3711.06,1167
3714.5,1169
3717.94,1175
3721.37,1160
3724.8,1161
3728.23,1149
3731.66,1129
3735.08,1147
3738.5,1134
3741.92,1125
3745.34,1121
3748.75,1118
3752.16,1109
3755.58,1096
3758.98,1101
3762.39,1079
3765.79,1098
3769.2,1080
3772.59,1068
3775.99,1076
3779.39,1073
3782.78,1060
3786.17,1057
3789.56,1052
3792.95,1051
